no,timestamp1,houseage,distancetomrt,numberconveniencestores,latitude,longitude,priceofunitarea
1,04-07-1905 22:00,32,84.87882,10,24.98298,121.54024,37.9
2,04-07-1905 22:00,19.5,306.5947,9,24.98034,121.53951,42.2
3,05-07-1905 13:59,13.3,561.9845,5,24.98746,121.54391,47.3
4,05-07-1905 12:00,13.3,561.9845,5,24.98746,121.54391,54.8
5,04-07-1905 19:59,5,390.5684,5,24.97937,121.54245,43.1
6,04-07-1905 16:00,7.1,2175.03,3,24.96305,121.51254,32.1
7,04-07-1905 16:00,34.5,623.4731,7,24.97933,121.53642,40.3
8,05-07-1905 10:00,20.3,287.6025,6,24.98042,121.54228,46.7
9,05-07-1905 12:00,31.7,5512.038,1,24.95095,121.48458,18.8
10,05-07-1905 10:00,17.9,1783.18,3,24.96731,121.51486,22.1
11,05-07-1905 01:59,34.8,405.2134,1,24.97349,121.53372,41.4
12,05-07-1905 07:59,6.3,90.45606,9,24.97433,121.5431,58.1
13,04-07-1905 22:00,13,492.2313,5,24.96515,121.53737,39.3
14,04-07-1905 16:00,20.4,2469.645,4,24.96108,121.51046,23.8
15,05-07-1905 12:00,13.2,1164.838,4,24.99156,121.53406,34.3
16,05-07-1905 13:59,35.7,579.2083,2,24.9824,121.54619,50.5
17,05-07-1905 06:00,0,292.9978,6,24.97744,121.54458,70.1
18,04-07-1905 18:00,17.7,350.8515,1,24.97544,121.53119,37.4
19,05-07-1905 10:00,16.9,368.1363,8,24.9675,121.54451,42.3
20,04-07-1905 16:00,1.5,23.38284,7,24.96772,121.54102,47.7
21,05-07-1905 10:00,4.5,2275.877,3,24.96314,121.51151,29.3
22,05-07-1905 10:00,10.5,279.1726,7,24.97528,121.54541,51.6
23,04-07-1905 22:00,14.7,1360.139,1,24.95204,121.54842,24.6
24,05-07-1905 01:59,10.1,279.1726,7,24.97528,121.54541,47.9
25,05-07-1905 00:00,39.6,480.6977,4,24.97353,121.53885,38.8
26,05-07-1905 01:59,29.3,1487.868,2,24.97542,121.51726,27
27,04-07-1905 16:00,3.1,383.8624,5,24.98085,121.54391,56.2
28,05-07-1905 06:00,10.4,276.449,5,24.95593,121.53913,33.6
29,05-07-1905 12:00,19.2,557.478,4,24.97419,121.53797,47
30,05-07-1905 01:59,7.1,451.2438,5,24.97563,121.54694,57.1
31,05-07-1905 12:00,25.9,4519.69,0,24.94826,121.49587,22.1
32,04-07-1905 18:00,29.6,769.4034,7,24.98281,121.53408,25
33,04-07-1905 18:00,37.9,488.5727,1,24.97349,121.53451,34.2
34,05-07-1905 06:00,16.5,323.655,6,24.97841,121.54281,49.3
35,04-07-1905 18:00,15.4,205.367,7,24.98419,121.54243,55.1
36,05-07-1905 12:00,13.9,4079.418,0,25.01459,121.51816,27.3
37,04-07-1905 22:00,14.7,1935.009,2,24.96386,121.51458,22.9
38,05-07-1905 04:00,12,1360.139,1,24.95204,121.54842,25.3
39,04-07-1905 16:00,3.1,577.9615,6,24.97201,121.54722,47.7
40,05-07-1905 04:00,16.2,289.3248,5,24.98203,121.54348,46.2
41,05-07-1905 00:00,13.6,4082.015,0,24.94155,121.50381,15.9
42,05-07-1905 12:00,16.8,4066.587,0,24.94297,121.50342,18.2
43,05-07-1905 10:00,36.1,519.4617,5,24.96305,121.53758,34.7
44,04-07-1905 18:00,34.4,512.7871,6,24.98748,121.54301,34.1
45,05-07-1905 13:59,2.7,533.4762,4,24.97445,121.54765,53.9
46,05-07-1905 01:59,36.6,488.8193,8,24.97015,121.54494,38.3
47,05-07-1905 10:00,21.7,463.9623,9,24.9703,121.54458,42
48,05-07-1905 13:59,35.9,640.7391,3,24.97563,121.53715,61.5
49,05-07-1905 10:00,24.2,4605.749,0,24.94684,121.49578,13.4
50,04-07-1905 16:00,29.4,4510.359,1,24.94925,121.49542,13.2
51,05-07-1905 10:00,21.7,512.5487,4,24.974,121.53842,44.2
52,05-07-1905 01:59,31.3,1758.406,1,24.95402,121.55282,20.7
53,05-07-1905 13:59,32.1,1438.579,3,24.97419,121.5175,27
54,05-07-1905 01:59,13.3,492.2313,5,24.96515,121.53737,38.9
55,05-07-1905 01:59,16.1,289.3248,5,24.98203,121.54348,51.7
56,04-07-1905 19:59,31.7,1160.632,0,24.94968,121.53009,13.7
57,05-07-1905 10:00,33.6,371.2495,8,24.97254,121.54059,41.9
58,04-07-1905 22:00,3.5,56.47425,7,24.95744,121.53711,53.5
59,05-07-1905 12:00,30.3,4510.359,1,24.94925,121.49542,22.6
60,05-07-1905 01:59,13.3,336.0532,5,24.95776,121.53438,42.4
61,05-07-1905 10:00,11,1931.207,2,24.96365,121.51471,21.3
62,05-07-1905 12:00,5.3,259.6607,6,24.97585,121.54516,63.2
63,04-07-1905 22:00,17.2,2175.877,3,24.96303,121.51254,27.7
64,05-07-1905 13:59,2.6,533.4762,4,24.97445,121.54765,55
65,05-07-1905 07:59,17.5,995.7554,0,24.96305,121.54915,25.3
66,05-07-1905 10:00,40.1,123.7429,8,24.97635,121.54329,44.3
67,05-07-1905 00:00,1,193.5845,6,24.96571,121.54089,50.7
68,05-07-1905 12:00,8.5,104.8101,5,24.96674,121.54067,56.8
69,05-07-1905 10:00,30.4,464.223,6,24.97964,121.53805,36.2
70,04-07-1905 19:59,12.5,561.9845,5,24.98746,121.54391,42
71,05-07-1905 13:59,6.6,90.45606,9,24.97433,121.5431,59
72,05-07-1905 01:59,35.5,640.7391,3,24.97563,121.53715,40.8
73,05-07-1905 13:59,32.5,424.5442,8,24.97587,121.53913,36.3
74,05-07-1905 04:00,13.8,4082.015,0,24.94155,121.50381,20
75,04-07-1905 22:00,6.8,379.5575,10,24.98343,121.53762,54.4
76,05-07-1905 12:00,12.3,1360.139,1,24.95204,121.54842,29.5
77,05-07-1905 13:59,35.9,616.4004,3,24.97723,121.53767,36.8
78,04-07-1905 19:59,20.5,2185.128,3,24.96322,121.51237,25.6
79,04-07-1905 22:00,38.2,552.4371,2,24.97598,121.53381,29.8
80,05-07-1905 00:00,18,1414.837,1,24.95182,121.54887,26.5
81,05-07-1905 12:00,11.8,533.4762,4,24.97445,121.54765,40.3
82,05-07-1905 00:00,30.8,377.7956,6,24.96427,121.53964,36.8
83,05-07-1905 01:59,13.2,150.9347,7,24.96725,121.54252,48.1
84,04-07-1905 22:00,25.3,2707.392,3,24.96056,121.50831,17.7
85,05-07-1905 01:59,15.1,383.2805,7,24.96735,121.54464,43.7
86,04-07-1905 18:00,0,338.9679,9,24.96853,121.54413,50.8
87,04-07-1905 19:59,1.8,1455.798,1,24.9512,121.549,27
88,05-07-1905 13:59,16.9,4066.587,0,24.94297,121.50342,18.3
89,04-07-1905 22:00,8.9,1406.43,0,24.98573,121.52758,48
90,05-07-1905 12:00,23,3947.945,0,24.94783,121.50243,25.3
91,04-07-1905 19:59,0,274.0144,1,24.9748,121.53059,45.4
92,05-07-1905 06:00,9.1,1402.016,0,24.98569,121.5276,43.2
93,04-07-1905 22:00,20.6,2469.645,4,24.96108,121.51046,21.8
94,04-07-1905 22:00,31.9,1146.329,0,24.9492,121.53076,16.1
95,04-07-1905 22:00,40.9,167.5989,5,24.9663,121.54026,41
96,04-07-1905 22:00,8,104.8101,5,24.96674,121.54067,51.8
97,05-07-1905 10:00,6.4,90.45606,9,24.97433,121.5431,59.5
98,05-07-1905 01:59,28.4,617.4424,3,24.97746,121.53299,34.6
99,05-07-1905 10:00,16.4,289.3248,5,24.98203,121.54348,51
100,05-07-1905 10:00,6.4,90.45606,9,24.97433,121.5431,62.2
101,05-07-1905 12:00,17.5,964.7496,4,24.98872,121.53411,38.2
102,04-07-1905 19:59,12.7,170.1289,1,24.97371,121.52984,32.9
103,05-07-1905 01:59,1.1,193.5845,6,24.96571,121.54089,54.4
104,04-07-1905 18:00,0,208.3905,6,24.95618,121.53844,45.7
105,04-07-1905 16:00,32.7,392.4459,6,24.96398,121.5425,30.5
106,04-07-1905 19:59,0,292.9978,6,24.97744,121.54458,71
107,05-07-1905 01:59,17.2,189.5181,8,24.97707,121.54308,47.1
108,05-07-1905 07:59,12.2,1360.139,1,24.95204,121.54842,26.6
109,05-07-1905 10:00,31.4,592.5006,2,24.9726,121.53561,34.1
110,05-07-1905 13:59,4,2147.376,3,24.96299,121.51284,28.4
111,05-07-1905 01:59,8.1,104.8101,5,24.96674,121.54067,51.6
112,05-07-1905 13:59,33.3,196.6172,7,24.97701,121.54224,39.4
113,05-07-1905 10:00,9.9,2102.427,3,24.96044,121.51462,23.1
114,05-07-1905 07:59,14.8,393.2606,6,24.96172,121.53812,7.6
115,04-07-1905 16:00,30.6,143.8383,8,24.98155,121.54142,53.3
116,05-07-1905 01:59,20.6,737.9161,2,24.98092,121.54739,46.4
117,05-07-1905 00:00,30.9,6396.283,1,24.94375,121.47883,12.2
118,05-07-1905 00:00,13.6,4197.349,0,24.93885,121.50383,13
119,05-07-1905 12:00,25.3,1583.722,3,24.96622,121.51709,30.6
120,05-07-1905 12:00,16.6,289.3248,5,24.98203,121.54348,59.6
121,05-07-1905 04:00,13.3,492.2313,5,24.96515,121.53737,31.3
122,05-07-1905 12:00,13.6,492.2313,5,24.96515,121.53737,48
123,05-07-1905 06:00,31.5,414.9476,4,24.98199,121.54464,32.5
124,05-07-1905 10:00,0,185.4296,0,24.9711,121.5317,45.5
125,04-07-1905 22:00,9.9,279.1726,7,24.97528,121.54541,57.4
126,05-07-1905 04:00,1.1,193.5845,6,24.96571,121.54089,48.6
127,05-07-1905 01:59,38.6,804.6897,4,24.97838,121.53477,62.9
128,05-07-1905 06:00,3.8,383.8624,5,24.98085,121.54391,55
129,05-07-1905 01:59,41.3,124.9912,6,24.96674,121.54039,60.7
130,05-07-1905 10:00,38.5,216.8329,7,24.98086,121.54162,41
131,05-07-1905 06:00,29.6,535.527,8,24.98092,121.53653,37.5
132,05-07-1905 12:00,4,2147.376,3,24.96299,121.51284,30.7
133,05-07-1905 04:00,26.6,482.7581,5,24.97433,121.53863,37.5
134,04-07-1905 19:59,18,373.3937,8,24.9866,121.54082,39.5
135,04-07-1905 16:00,33.4,186.9686,6,24.96604,121.54211,42.2
136,04-07-1905 22:00,18.9,1009.235,0,24.96357,121.54951,20.8
137,04-07-1905 18:00,11.4,390.5684,5,24.97937,121.54245,46.8
138,05-07-1905 12:00,13.6,319.0708,6,24.96495,121.54277,47.4
139,05-07-1905 04:00,10,942.4664,0,24.97843,121.52406,43.5
140,04-07-1905 16:00,12.9,492.2313,5,24.96515,121.53737,42.5
141,05-07-1905 06:00,16.2,289.3248,5,24.98203,121.54348,51.4
142,05-07-1905 07:59,5.1,1559.827,3,24.97213,121.51627,28.9
143,05-07-1905 10:00,19.8,640.6071,5,24.97017,121.54647,37.5
144,05-07-1905 12:00,13.6,492.2313,5,24.96515,121.53737,40.1
145,05-07-1905 01:59,11.9,1360.139,1,24.95204,121.54842,28.4
146,04-07-1905 22:00,2.1,451.2438,5,24.97563,121.54694,45.5
147,04-07-1905 18:00,0,185.4296,0,24.9711,121.5317,52.2
148,04-07-1905 18:00,3.2,489.8821,8,24.97017,121.54494,43.2
149,05-07-1905 12:00,16.4,3780.59,0,24.93293,121.51203,45.1
150,04-07-1905 16:00,34.9,179.4538,8,24.97349,121.54245,39.7
151,05-07-1905 06:00,35.8,170.7311,7,24.96719,121.54269,48.5
152,05-07-1905 12:00,4.9,387.7721,9,24.98118,121.53788,44.7
153,05-07-1905 07:59,12,1360.139,1,24.95204,121.54842,28.9
154,05-07-1905 06:00,6.5,376.1709,6,24.95418,121.53713,40.9
155,05-07-1905 12:00,16.9,4066.587,0,24.94297,121.50342,20.7
156,05-07-1905 04:00,13.8,4082.015,0,24.94155,121.50381,15.6
157,05-07-1905 13:59,30.7,1264.73,0,24.94883,121.52954,18.3
158,05-07-1905 06:00,16.1,815.9314,4,24.97886,121.53464,35.6
159,05-07-1905 00:00,11.6,390.5684,5,24.97937,121.54245,39.4
160,04-07-1905 16:00,15.5,815.9314,4,24.97886,121.53464,37.4
161,04-07-1905 22:00,3.5,49.66105,8,24.95836,121.53756,57.8
162,05-07-1905 10:00,19.2,616.4004,3,24.97723,121.53767,39.6
163,04-07-1905 18:00,16,4066.587,0,24.94297,121.50342,11.6
164,05-07-1905 12:00,8.5,104.8101,5,24.96674,121.54067,55.5
165,04-07-1905 19:59,0,185.4296,0,24.9711,121.5317,55.2
166,04-07-1905 22:00,13.7,1236.564,1,24.97694,121.55391,30.6
167,05-07-1905 10:00,0,292.9978,6,24.97744,121.54458,73.6
168,05-07-1905 10:00,28.2,330.0854,8,24.97408,121.54011,43.4
169,05-07-1905 01:59,27.6,515.1122,5,24.96299,121.5432,37.4
170,05-07-1905 10:00,8.4,1962.628,1,24.95468,121.55481,23.5
171,05-07-1905 07:59,24,4527.687,0,24.94741,121.49628,14.4
172,05-07-1905 01:59,3.6,383.8624,5,24.98085,121.54391,58.8
173,05-07-1905 13:59,6.6,90.45606,9,24.97433,121.5431,58.1
174,05-07-1905 01:59,41.3,401.8807,4,24.98326,121.5446,35.1
175,05-07-1905 10:00,4.3,432.0385,7,24.9805,121.53778,45.2
176,05-07-1905 01:59,30.2,472.1745,3,24.97005,121.53758,36.5
177,04-07-1905 19:59,13.9,4573.779,0,24.94867,121.49507,19.2
178,05-07-1905 01:59,33,181.0766,9,24.97697,121.54262,42
179,05-07-1905 12:00,13.1,1144.436,4,24.99176,121.53456,36.7
180,05-07-1905 01:59,14,438.8513,1,24.97493,121.5273,42.6
181,04-07-1905 16:00,26.9,4449.27,0,24.94898,121.49621,15.5
182,05-07-1905 04:00,11.6,201.8939,8,24.98489,121.54121,55.9
183,05-07-1905 12:00,13.5,2147.376,3,24.96299,121.51284,23.6
184,05-07-1905 12:00,17,4082.015,0,24.94155,121.50381,18.8
185,04-07-1905 18:00,14.1,2615.465,0,24.95495,121.56174,21.8
186,04-07-1905 18:00,31.4,1447.286,3,24.97285,121.5173,21.5
187,05-07-1905 04:00,20.9,2185.128,3,24.96322,121.51237,25.7
188,05-07-1905 00:00,8.9,3078.176,0,24.95464,121.56627,22
189,04-07-1905 22:00,34.8,190.0392,8,24.97707,121.54312,44.3
190,04-07-1905 22:00,16.3,4066.587,0,24.94297,121.50342,20.5
191,05-07-1905 12:00,35.3,616.5735,8,24.97945,121.53642,42.3
192,05-07-1905 04:00,13.2,750.0704,2,24.97371,121.54951,37.8
193,05-07-1905 04:00,43.8,57.58945,7,24.9675,121.54069,42.7
194,05-07-1905 10:00,9.7,421.479,5,24.98246,121.54477,49.3
195,05-07-1905 12:00,15.2,3771.895,0,24.93363,121.51158,29.3
196,05-07-1905 07:59,15.2,461.1016,5,24.95425,121.5399,34.6
197,05-07-1905 00:00,22.8,707.9067,2,24.981,121.54713,36.6
198,05-07-1905 06:00,34.4,126.7286,8,24.96881,121.54089,48.2
199,05-07-1905 01:59,34,157.6052,7,24.96628,121.54196,39.1
200,05-07-1905 10:00,18.2,451.6419,8,24.96945,121.5449,31.6
201,05-07-1905 10:00,17.4,995.7554,0,24.96305,121.54915,25.5
202,05-07-1905 10:00,13.1,561.9845,5,24.98746,121.54391,45.9
203,04-07-1905 22:00,38.3,642.6985,3,24.97559,121.53713,31.5
204,04-07-1905 16:00,15.6,289.3248,5,24.98203,121.54348,46.1
205,05-07-1905 00:00,18,1414.837,1,24.95182,121.54887,26.6
206,05-07-1905 01:59,12.8,1449.722,3,24.97289,121.51728,21.4
